"Country";"Type";"Year";"Number"
"FINLAND";"PC";NA;370,846
"FRANCE";"PC";NA;6198
"GERMANY";"PC";NA;3133
"GREECE";"PC";NA;1213,312
"ICELAND";"PC";NA;27
"IRELAND";"PC";NA;294,173
"ITALY";"PC";NA;4422
"LUXEMBOURG";"PC";NA;31
"NETHERLANDS";"PC";NA;1070,605
"NORWAY";"PC";NA;494
"PORTUGAL";"PC";NA;1323
"SPAIN";"PC";NA;4908
"SWEDEN";"PC";NA;475
"SWITZERLAND";"PC";NA;353
"UNITED KINGDOM";"PC";NA;3916,765
"BULGARIA";"PC";NA;371
"CROATIA";"PC";NA;164
"CYPRUS";"PC";NA;122
"CZECH REPUBLIC";"PC";NA;530
"ESTONIA";"PC";NA;86,2
"HUNGARY";"PC";NA;430
"LATVIA";"PC";NA;123,757
"LITHUANIA";"PC";NA;165,913
"MALTA";"PC";NA;46
"POLAND";"PC";NA;2481
"ROMANIA";"PC";NA;533
"SLOVAKIA";"PC";NA;206
"SLOVENIA";"PC";NA;72,133
"ALBANIA";"PC";NA;80
"BELARUS";"PC";NA;364,826078
"BOSNIA";"PC";NA;50
"GEORGIA";"PC";NA;74
"MACEDONIA";"PC";NA;20
"MOLDAVIA";"PC";NA;102
"RUSSIA";"PC";NA;5642
"SERBIA";"PC";NA;156
"TURKEY";"PC";NA;2654
"UKRAINE";"PC";NA;1194
"CANADA";"PC";NA;786
"MEXICO";"PC";NA;7250
"UNITED STATES OF AMERICA";"PC";NA;104788
"ARGENTINA";"PC";NA;1775
"BAHAMAS";"PC";NA;29
"BARBADOS";"PC";NA;16
"BELIZE";"PC";NA;15
"BERMUDA";"PC";NA;5
"BOLIVIA";"PC";NA;180,046
"BRAZIL";"PC";NA;4653
"CHILE";"PC";NA;815
"COLOMBIA";"PC";NA;1245
"COSTA RICA";"PC";NA;157,067
"CUBA";"PC";NA;215
"DOMINICAN REPUBLIC";"PC";NA;451
"ECUADOR";"PC";NA;710
"EL SALVADOR";"PC";NA;106
"GUATEMALA";"PC";NA;573,147
"HAITI";"PC";NA;36
"HONDURAS";"PC";NA;90
"JAMAICA";"PC";NA;32
"NICARAGUA";"PC";NA;149,148
"PANAMA";"PC";NA;79
"PARAGUAY";"PC";NA;71
"PERU";"PC";NA;813
"PUERTO RICO";"PC";NA;113
"SURINAME";"PC";NA;28,5
"TRINIDAD";"PC";NA;41
"URUGUAY";"PC";NA;65
"VENEZUELA";"PC";NA;621
"AFGHANISTAN";"PC";NA;280
"AUSTRALIA";"PC";NA;2601
"AZERBAIDJAN";"PC";NA;118
"BAHRAIN";"PC";NA;129
"BANGLADESH";"PC";NA;141
"BRUNEI";"PC";NA;10
"CHINA";"PC";NA;10272
"GUAM";"PC";NA;31
"HONG-KONG";"PC";NA;130
"INDIA";"PC";NA;2706
"INDONESIA";"PC";NA;3985,371
"IRAN";"PC";NA;860
"IRAQ";"PC";NA;1400
"ISRAEL";"PC";NA;250
"JAPAN";"PC";NA;18596
"JORDAN";"PC";NA;93
"KAZAKHSTAN";"PC";NA;347
"KUWAIT";"PC";NA;185
"KYRGYZSTAN";"PC";NA;228,607694543224
"LEBANON";"PC";NA;91
"MALAYSIA";"PC";NA;862,527
"NEW CALEDONIA";"PC";NA;23
"NEW ZEALAND";"PC";NA;414
"OMAN";"PC";NA;120
"PAKISTAN";"PC";NA;351,229
"PALESTINE";"PC";NA;132
"PHILIPPINES";"PC";NA;321,814
"QATAR";"PC";NA;125
"SAUDI ARABIA";"PC";NA;1420
"SINGAPORE";"PC";NA;152,592
"SOUTH KOREA";"PC";NA;4275
"SRI LANKA";"PC";NA;395
"SYRIA";"PC";NA;1420
"TAIWAN";"PC";NA;1018
"THAILAND";"PC";NA;5596
"UNITED ARAB EMIRATES";"PC";NA;69
"VIETNAM";"PC";NA;98
"YEMEN";"PC";NA;260
"ALGERIA";"PC";NA;1018
"ANGOLA";"PC";NA;59
"BENIN";"PC";NA;14
"BOTSWANA";"PC";NA;99
"BURKINA FASO";"PC";NA;37
"BURUNDI";"PC";NA;22
"CAMEROON";"PC";NA;58
"CONGO (RDC)";"PC";NA;689,2
"EGYPT";"PC";NA;608
"ETHIOPIA";"PC";NA;54
"GHANA";"PC";NA;49
"IVORY COAST";"PC";NA;342
"KENYA";"PC";NA;316
"LIBERIA";"PC";NA;38
"LIBYA";"PC";NA;379
"MADAGASCAR";"PC";NA;66
"MALAWI";"PC";NA;34
"MALI";"PC";NA;34
"MAURITANIA";"PC";NA;17,5328433624254
"MAURITIUS";"PC";NA;40
"MOROCCO";"PC";NA;528,932949282452
"MOZAMBIQUE";"PC";NA;45
"NIGERIA";"PC";NA;644
"SENEGAL";"PC";NA;217
"SOUTH AFRICA";"PC";NA;2297
"SUDAN";"PC";NA;48
"TANZANIA";"PC";NA;50
"TOGO";"PC";NA;47
"TUNISIA";"PC";NA;122
"UGANDA";"PC";NA;171
"ZAMBIA";"PC";NA;73
"ZIMBABWE";"PC";NA;89
"FINLAND";"PC";NA;370,846
"FRANCE";"PC";NA;6198
"GERMANY";"PC";NA;3133
"GREECE";"PC";NA;1213,312
"ICELAND";"PC";NA;27
"IRELAND";"PC";NA;294,173
"ITALY";"PC";NA;4422
"LUXEMBOURG";"PC";NA;31
"NETHERLANDS";"PC";NA;1070,605
"NORWAY";"PC";NA;494
"PORTUGAL";"PC";NA;1323
"SPAIN";"PC";NA;4908
"SWEDEN";"PC";NA;475
"SWITZERLAND";"PC";NA;353
"UNITED KINGDOM";"PC";NA;3916,765
"BULGARIA";"PC";NA;371
"CROATIA";"PC";NA;164
"CYPRUS";"PC";NA;122
"CZECH REPUBLIC";"PC";NA;530
"ESTONIA";"PC";NA;86,2
"HUNGARY";"PC";NA;430
"LATVIA";"PC";NA;123,757
"LITHUANIA";"PC";NA;165,913
"MALTA";"PC";NA;46
"POLAND";"PC";NA;2481
"ROMANIA";"PC";NA;533
"SLOVAKIA";"PC";NA;206
"SLOVENIA";"PC";NA;72,133
"ALBANIA";"PC";NA;80
"BELARUS";"PC";NA;364,826078
"BOSNIA";"PC";NA;50
"GEORGIA";"PC";NA;74
"MACEDONIA";"PC";NA;20
"MOLDAVIA";"PC";NA;102
"RUSSIA";"PC";NA;5642
"SERBIA";"PC";NA;156
"TURKEY";"PC";NA;2654
"UKRAINE";"PC";NA;1194
"CANADA";"PC";NA;786
"MEXICO";"PC";NA;7250
"UNITED STATES OF AMERICA";"PC";NA;104788
"ARGENTINA";"PC";NA;1775
"BAHAMAS";"PC";NA;29
"BARBADOS";"PC";NA;16
"BELIZE";"PC";NA;15
"BERMUDA";"PC";NA;5
"BOLIVIA";"PC";NA;180,046
"BRAZIL";"PC";NA;4653
"CHILE";"PC";NA;815
"COLOMBIA";"PC";NA;1245
"COSTA RICA";"PC";NA;157,067
"CUBA";"PC";NA;215
"DOMINICAN REPUBLIC";"PC";NA;451
"ECUADOR";"PC";NA;710
"EL SALVADOR";"PC";NA;106
"GUATEMALA";"PC";NA;573,147
"HAITI";"PC";NA;36
"HONDURAS";"PC";NA;90
"JAMAICA";"PC";NA;32
"NICARAGUA";"PC";NA;149,148
"PANAMA";"PC";NA;79
"PARAGUAY";"PC";NA;71
"PERU";"PC";NA;813
"PUERTO RICO";"PC";NA;113
"SURINAME";"PC";NA;28,5
"TRINIDAD";"PC";NA;41
"URUGUAY";"PC";NA;65
"VENEZUELA";"PC";NA;621
"AFGHANISTAN";"PC";NA;280
"AUSTRALIA";"PC";NA;2601
"AZERBAIDJAN";"PC";NA;118
"BAHRAIN";"PC";NA;129
"BANGLADESH";"PC";NA;141
"BRUNEI";"PC";NA;10
"CHINA";"PC";NA;10272
"GUAM";"PC";NA;31
"HONG-KONG";"PC";NA;130
"INDIA";"PC";NA;2706
"INDONESIA";"PC";NA;3985,371
"IRAN";"PC";NA;860
"IRAQ";"PC";NA;1400
"ISRAEL";"PC";NA;250
"JAPAN";"PC";NA;18596
"JORDAN";"PC";NA;93
"KAZAKHSTAN";"PC";NA;347
"KUWAIT";"PC";NA;185
"KYRGYZSTAN";"PC";NA;228,607694543224
"LEBANON";"PC";NA;91
"MALAYSIA";"PC";NA;862,527
"NEW CALEDONIA";"PC";NA;23
"NEW ZEALAND";"PC";NA;414
"OMAN";"PC";NA;120
"PAKISTAN";"PC";NA;351,229
"PALESTINE";"PC";NA;132
"PHILIPPINES";"PC";NA;321,814
"QATAR";"PC";NA;125
"SAUDI ARABIA";"PC";NA;1420
"SINGAPORE";"PC";NA;152,592
"SOUTH KOREA";"PC";NA;4275
"SRI LANKA";"PC";NA;395
"SYRIA";"PC";NA;1420
"TAIWAN";"PC";NA;1018
"THAILAND";"PC";NA;5596
"UNITED ARAB EMIRATES";"PC";NA;69
"VIETNAM";"PC";NA;98
"YEMEN";"PC";NA;260
"ALGERIA";"PC";NA;1018
"ANGOLA";"PC";NA;59
"BENIN";"PC";NA;14
"BOTSWANA";"PC";NA;99
"BURKINA FASO";"PC";NA;37
"BURUNDI";"PC";NA;22
"CAMEROON";"PC";NA;58
"CONGO (RDC)";"PC";NA;689,2
"EGYPT";"PC";NA;608
"ETHIOPIA";"PC";NA;54
"GHANA";"PC";NA;49
"IVORY COAST";"PC";NA;342
"KENYA";"PC";NA;316
"LIBERIA";"PC";NA;38
"LIBYA";"PC";NA;379
"MADAGASCAR";"PC";NA;66
"MALAWI";"PC";NA;34
"MALI";"PC";NA;34
"MAURITANIA";"PC";NA;17,5328433624254
"MAURITIUS";"PC";NA;40
"MOROCCO";"PC";NA;528,932949282452
"MOZAMBIQUE";"PC";NA;45
"NIGERIA";"PC";NA;644
"SENEGAL";"PC";NA;217
"SOUTH AFRICA";"PC";NA;2297
"SUDAN";"PC";NA;48
"TANZANIA";"PC";NA;50
"TOGO";"PC";NA;47
"TUNISIA";"PC";NA;122
"UGANDA";"PC";NA;171
"ZAMBIA";"PC";NA;73
"ZIMBABWE";"PC";NA;89
"FINLAND";"PC";NA;370,846
"FRANCE";"PC";NA;6198
"GERMANY";"PC";NA;3133
"GREECE";"PC";NA;1213,312
"ICELAND";"PC";NA;27
"IRELAND";"PC";NA;294,173
"ITALY";"PC";NA;4422
"LUXEMBOURG";"PC";NA;31
"NETHERLANDS";"PC";NA;1070,605
"NORWAY";"PC";NA;494
"PORTUGAL";"PC";NA;1323
"SPAIN";"PC";NA;4908
"SWEDEN";"PC";NA;475
"SWITZERLAND";"PC";NA;353
"UNITED KINGDOM";"PC";NA;3916,765
"BULGARIA";"PC";NA;371
"CROATIA";"PC";NA;164
"CYPRUS";"PC";NA;122
"CZECH REPUBLIC";"PC";NA;530
"ESTONIA";"PC";NA;86,2
"HUNGARY";"PC";NA;430
"LATVIA";"PC";NA;123,757
"LITHUANIA";"PC";NA;165,913
"MALTA";"PC";NA;46
"POLAND";"PC";NA;2481
"ROMANIA";"PC";NA;533
"SLOVAKIA";"PC";NA;206
"SLOVENIA";"PC";NA;72,133
"ALBANIA";"PC";NA;80
"BELARUS";"PC";NA;364,826078
"BOSNIA";"PC";NA;50
"GEORGIA";"PC";NA;74
"MACEDONIA";"PC";NA;20
"MOLDAVIA";"PC";NA;102
"RUSSIA";"PC";NA;5642
"SERBIA";"PC";NA;156
"TURKEY";"PC";NA;2654
"UKRAINE";"PC";NA;1194
"CANADA";"PC";NA;786
"MEXICO";"PC";NA;7250
"UNITED STATES OF AMERICA";"PC";NA;104788
"ARGENTINA";"PC";NA;1775
"BAHAMAS";"PC";NA;29
"BARBADOS";"PC";NA;16
"BELIZE";"PC";NA;15
"BERMUDA";"PC";NA;5
"BOLIVIA";"PC";NA;180,046
"BRAZIL";"PC";NA;4653
"CHILE";"PC";NA;815
"COLOMBIA";"PC";NA;1245
"COSTA RICA";"PC";NA;157,067
"CUBA";"PC";NA;215
"DOMINICAN REPUBLIC";"PC";NA;451
"ECUADOR";"PC";NA;710
"EL SALVADOR";"PC";NA;106
"GUATEMALA";"PC";NA;573,147
"HAITI";"PC";NA;36
"HONDURAS";"PC";NA;90
"JAMAICA";"PC";NA;32
"NICARAGUA";"PC";NA;149,148
"PANAMA";"PC";NA;79
"PARAGUAY";"PC";NA;71
"PERU";"PC";NA;813
"PUERTO RICO";"PC";NA;113
"SURINAME";"PC";NA;28,5
"TRINIDAD";"PC";NA;41
"URUGUAY";"PC";NA;65
"VENEZUELA";"PC";NA;621
"AFGHANISTAN";"PC";NA;280
"AUSTRALIA";"PC";NA;2601
"AZERBAIDJAN";"PC";NA;118
"BAHRAIN";"PC";NA;129
"BANGLADESH";"PC";NA;141
"BRUNEI";"PC";NA;10
"CHINA";"PC";NA;10272
"GUAM";"PC";NA;31
"HONG-KONG";"PC";NA;130
"INDIA";"PC";NA;2706
"INDONESIA";"PC";NA;3985,371
"IRAN";"PC";NA;860
"IRAQ";"PC";NA;1400
"ISRAEL";"PC";NA;250
"JAPAN";"PC";NA;18596
"JORDAN";"PC";NA;93
"KAZAKHSTAN";"PC";NA;347
"KUWAIT";"PC";NA;185
"KYRGYZSTAN";"PC";NA;228,607694543224
"LEBANON";"PC";NA;91
"MALAYSIA";"PC";NA;862,527
"NEW CALEDONIA";"PC";NA;23
"NEW ZEALAND";"PC";NA;414
"OMAN";"PC";NA;120
"PAKISTAN";"PC";NA;351,229
"PALESTINE";"PC";NA;132
"PHILIPPINES";"PC";NA;321,814
"QATAR";"PC";NA;125
"SAUDI ARABIA";"PC";NA;1420
"SINGAPORE";"PC";NA;152,592
"SOUTH KOREA";"PC";NA;4275
"SRI LANKA";"PC";NA;395
"SYRIA";"PC";NA;1420
"TAIWAN";"PC";NA;1018
"THAILAND";"PC";NA;5596
"UNITED ARAB EMIRATES";"PC";NA;69
"VIETNAM";"PC";NA;98
"YEMEN";"PC";NA;260
"ALGERIA";"PC";NA;1018
"ANGOLA";"PC";NA;59
"BENIN";"PC";NA;14
"BOTSWANA";"PC";NA;99
"BURKINA FASO";"PC";NA;37
"BURUNDI";"PC";NA;22
"CAMEROON";"PC";NA;58
"CONGO (RDC)";"PC";NA;689,2
"EGYPT";"PC";NA;608
"ETHIOPIA";"PC";NA;54
"GHANA";"PC";NA;49
"IVORY COAST";"PC";NA;342
"KENYA";"PC";NA;316
"LIBERIA";"PC";NA;38
"LIBYA";"PC";NA;379
"MADAGASCAR";"PC";NA;66
"MALAWI";"PC";NA;34
