"Country";"Type";"Year";"Number"
"BELGIUM";"CV";2005;"0"
"FRANCE";"CV";2005;"382201"
"GERMANY";"CV";2005;"193037"
"ITALY";"CV";2005;"269749"
"PORTUGAL";"CV";2005;"78161"
"SPAIN";"CV";2005;"578989"
"UNITED KINGDOM";"CV";2005;"186948"
"- EUROPEAN UNION New Members";"CV";2005;"123967"
"CZECH REPUBLIC";"CV";2005;"1220"
"POLAND";"CV";2005;"83189"
"SLOVENIA";"CV";2005;"39558"
"- EAST AND CENTRAL EUROPE";"CV";2005;"225071"
"ROMANIA";"CV";2005;"20078"
"SERBIA";"CV";2005;"775"
"CIS";"CV";2005;"204218"
"Double Counts Ukraine / Russia";"CV";2005;"11322"
"RUSSIA";"CV";2005;"195916"
"UKRAINE";"CV";2005;"11322"
"UZBEKISTAN";"CV";2005;"8302"
"- TURKEY";"CV";2005;"376047"
"AMERICA";"CV";2005;"9608904"
"- NAFTA";"CV";2005;"9087347"
"CANADA";"CV";2005;"1267353"
"MEXICO";"CV";2005;"617016"
"UNITED STATES OF AMERICA";"CV";2005;"7202978"
"- SOUTH AMERICA";"CV";2005;"521557"
"ARGENTINA";"CV";2005;"116444"
"BRAZIL";"CV";2005;"365648"
"CHILE";"CV";2005;"6660"
"COLOMBIA";"CV";2005;"3530"
"ECUADOR";"CV";2005;"25465"
"VENEZUELA";"CV";2005;"3810"
"ASIA-OCEANIA";"CV";2005;"5030279"
"AUSTRALIA";"CV";2005;"72571"
"CHINA";"CV";2005;"1988912"
"INDIA";"CV";2005;"142101"
"INDONESIA";"CV";2005;"240336"
"IRAN";"CV";2005;"88000"
"JAPAN";"CV";2005;"1047498"
"MALAYSIA (without DC)";"CV";2005;"158837"
"PAKISTAN";"CV";2005;"22224"
"PHILIPPINES";"CV";2005;"9075"
"SOUTH KOREA";"CV";2005;"299827"
"TAIWAN";"CV";2005;"117437"
"THAILAND";"CV";2005;"831937"
"VIETNAM";"CV";2005;"11524"
"AFRICA";"CV";2005;"174790"
"Double Counts Egypt / world";"CV";2005;"8895"
"Double Counts South Africa / world";"CV";2005;"15522"
"EGYPT";"CV";2005;"14626"
"KENYA";"CV";2005;"405"
"MOROCCO";"CV";2005;"7259"
"NIGERIA";"CV";2005;"465"
"Others";"CV";2005;"2970"
"SOUTH AFRICA";"CV";2005;"172522"
"ZIMBABWE";"CV";2005;"960"
"TOTAL";"CV";2005;"17219185"
"AUSTRIA";"CV";2006;"0"
"BELGIUM";"CV";2006;"0"
