"Country";"Type";"Year";"Number"
"AUSTRIA";"HT";2005;"22567"
"BELGIUM";"HT";2005;"30377"
"FINLAND";"HT";2005;"411"
"FRANCE";"HT";2005;"50159"
"GERMANY";"HT";2005;"205696"
"ITALY";"HT";2005;"39616"
"NETHERLANDS";"HT";2005;"63643"
"PORTUGAL";"HT";2005;"3232"
"SPAIN";"HT";2005;"74081"
"SWEDEN";"HT";2005;"41346"
"UNITED KINGDOM";"HT";2005;"18374"
"- EUROPEAN UNION New Members";"HT";2005;"4841"
"CZECH REPUBLIC";"HT";2005;"2044"
"HUNGARY";"HT";2005;"2473"
"POLAND(4)";"HT";2005;"324"
"- EAST AND CENTRAL EUROPE";"HT";2005;"92792"
"ROMANIA";"HT";2005;"186"
"SERBIA";"HT";2005;"477"
"CIS";"HT";2005;"92129"
"RUSSIA";"HT";2005;"65965"
"BELARUS";"HT";2005;"22500"
"UKRAINE";"HT";2005;"3664"
"- TURKEY";"HT";2005;"37227"
"AMERICA";"HT";2005;"686815"
"- NAFTA";"HT";2005;"548974"
"CANADA";"HT";2005;"64812"
"MEXICO";"HT";2005;"61759"
"UNITED STATES OF AMERICA";"HT";2005;"422403"
"- SOUTH AMERICA";"HT";2005;"137841"
"ARGENTINA";"HT";2005;"19949"
"BRAZIL";"HT";2005;"117892"
"ASIA-OCEANIA";"HT";2005;"1582715"
"AUSTRALIA";"HT";2005;"5728"
"CHINA";"HT";2005;"563486"
"INDIA";"HT";2005;"220654"
"INDONESIA";"HT";2005;"19032"
"JAPAN";"HT";2005;"723663"
"SOUTH KOREA";"HT";2005;"29699"
"TAIWAN";"HT";2005;"5089"
"THAILAND";"HT";2005;"15364"
"AFRICA";"HT";2005;"26727"
"Double Counts Egypt / world";"HT";2005;"3882"
"EGYPT";"HT";2005;"3882"
"SOUTH AFRICA";"HT";2005;"26727"
"TOTAL";"HT";2005;"2980619"
"AUSTRIA";"HT";2006;"26646"
"BELGIUM";"HT";2006;"34984"
"FINLAND";"HT";2006;"353"
"FRANCE";"HT";2006;"55439"
"GERMANY(1)";"HT";2006;"209385"
"ITALY";"HT";2006;"44020"
"NETHERLANDS";"HT";2006;"70202"
"PORTUGAL";"HT";2006;"5248"
"SPAIN";"HT";2006;"77882"
"SWEDEN (2)";"HT";2006;"35485"
"UNITED KINGDOM";"HT";2006;"18327"
"- EUROPEAN UNION New Members";"HT";2006;"5095"
"CZECH REPUBLIC";"HT";2006;"1979"
"HUNGARY";"HT";2006;"2600"
"POLAND";"HT";2006;"0"
"ROMANIA";"HT";2006;"516"
"SLOVENIA";"HT";2006;"0"
"- EAST AND CENTRAL EUROPE";"HT";2006;"113856"
"SERBIA";"HT";2006;"413"
"CIS";"HT";2006;"113443"
"RUSSIA";"HT";2006;"88073"
"BELARUS";"HT";2006;"22500"
"UKRAINE";"HT";2006;"2870"
"TURKEY";"HT";2006;"37026"
"AMERICA";"HT";2006;"754974"
"- NAFTA";"HT";2006;"626601"
"CANADA";"HT";2006;"74925"
"MEXICO";"HT";2006;"89735"
"UNITED STATES OF AMERICA";"HT";2006;"461941"
"- SOUTH AMERICA";"HT";2006;"128373"
"ARGENTINA";"HT";2006;"22372"
"BRAZIL";"HT";2006;"106001"
"ASIA-OCEANIA";"HT";2006;"1764816"
"AUSTRALIA";"HT";2006;"5390"
"CHINA";"HT";2006;"702870"
"INDIA";"HT";2006;"280237"
"INDONESIA";"HT";2006;"38469"
"JAPAN";"HT";2006;"699410"
"MALAYSIA";"HT";2006;"18254"
"TAIWAN";"HT";2006;"5386"
"THAILAND";"HT";2006;"14800"
"AFRICA";"HT";2006;"29751"
"Double Counts Egypt / world";"HT";2006;"8150"
"EGYPT";"HT";2006;"5633"
"TOTAL";"HT";2006;"3050174"
"AUSTRIA";"HT";2007;"28097"
"BELGIUM";"HT";2007;"43516"
"FINLAND";"HT";2007;"303"
"FRANCE";"HT";2007;"67395"
"GERMANY(1)";"HT";2007;"243642"
"ITALY";"HT";2007;"51114"
"NETHERLANDS";"HT";2007;"74649"
"PORTUGAL";"HT";2007;"5981"
"SPAIN";"HT";2007;"92793"
"SWEDEN (2)";"HT";2007;"40364"
"UNITED KINGDOM";"HT";2007;"18436"
"- EUROPEAN UNION New Members";"HT";2007;"6875"
"CZECH REPUBLIC";"HT";2007;"3154"
"HUNGARY";"HT";2007;"3566"
"ROMANIA";"HT";2007;"155"
"- OTHER EUROPE";"HT";2007;"134999"
"SERBIA";"HT";2007;"420"
"CIS";"HT";2007;"134579"
"Double Counts Ukraine / World";"HT";2007;"-462"
"RUSSIA";"HT";2007;"103932"
