"Group";"Year";"Country";"Number"
"TOYOTA";2015;"JAPAN";10083831
"VOLKSWAGEN GROUP";2015;"GERMANY";9872424
"HYUNDAI / KIA";2015;"SOUTH KOREA";7988479
"GENERAL MOTORS";2015;"UNITED STATES";7485587
"FORD";2015;"UNITED STATES";6396369
"NISSAN";2015;"JAPAN";5170074
"FIAT CHRYSLER";2015;"ITALY /  UNITED STATES";4865233
"HONDA";2015;"JAPAN";4543838
"SUZUKI";2015;"JAPAN";3034081
"RENAULT";2015;"FRANCE";3032652
"GROUPE PSA";2015;"FRANCE";2982035
"BMW";2015;"GERMANY";2279503
"SAIC";2015;"CHINA";2260579
"DAIMLER";2015;"GERMANY";2134645
"MAZDA";2015;"JAPAN";1540576
"CHANGAN";2015;"CHINA";1540133
"MITSUBISHI";2015;"JAPAN";1218853
"DONGFENG";2015;"CHINA";1209296
"BAIC";2015;"CHINA";1169894
"TATA";2015;"INDIA";1009369
"TOYOTA";2014;"JAPAN";10475338
"VOLKSWAGEN GROUP";2014;"GERMANY";9894891
"GENERAL MOTORS";2014;"UNITED STATES";9609326
"HYUNDAI / KIA";2014;"SOUTH KOREA";8008987
"FORD";2014;"UNITED STATES";5969541
"NISSAN";2014;"JAPAN";5097772
"FIAT CHRYSLER";2014;"ITALY /  UNITED STATES";4865758
"HONDA";2014;"JAPAN";4513769
"SUZUKI";2014;"JAPAN";3016710
"GROUPE PSA";2014;"FRANCE";2917046
"RENAULT";2014;"FRANCE";2761969
"BMW";2014;"GERMANY";2165566
"SAIC";2014;"CHINA";2087949
"DAIMLER";2014;"GERMANY";1973270
"CHANGAN";2014;"CHINA";1447017
"MAZDA";2014;"JAPAN";1328426
"DONGFENG";2014;"CHINA";1301695
"MITSUBISHI";2014;"JAPAN";1262342
"BAIC";2014;"CHINA";1115847
"TATA";2014;"INDIA";945113
"TOYOTA";2013;"JAPAN";10324995
"GENERAL MOTORS";2013;"UNITED STATES";9628912
"VOLKSWAGEN GROUP";2013;"GERMANY";9379229
"HYUNDAI / KIA";2013;"SOUTH KOREA";7233080
"FORD";2013;"UNITED STATES";6077126
"NISSAN";2013;"JAPAN";4950924
"FIAT CHRYSLER";2013;"ITALY /  UNITED STATES";4681704
"HONDA";2013;"JAPAN";4298390
"SUZUKI";2013;"JAPAN";2842133
"GROUPE PSA";2013;"FRANCE";2833781
"RENAULT";2013;"FRANCE";2704675
"BMW";2013;"GERMANY";2006366
"SAIC";2013;"CHINA";1992250
"DAIMLER";2013;"GERMANY";1781507
"MAZDA";2013;"JAPAN";1264173
"DONGFENG";2013;"CHINA";1238948
"MITSUBISHI";2013;"JAPAN";1229441
"CHANGAN";2013;"CHINA";1109889
"TATA";2013;"INDIA";1062654
"GEELY";2013;"CHINA";969896
"BAIC";2013;"CHINA";918879
"FUJI ";2013;"JAPAN";808919
"BRILLIANCE";2013;"CHINA";782904
"FAW";2013;"CHINA";717883
"MAHINDRA & MAHINDRA";2013;"INDIA";584534
"GREAT WALL";2013;"CHINA";557564
"ISUZU";2013;"JAPAN";532966
"JAC";2013;"CHINA";517577
"BYD";2013;"CHINA";510950
"AVTOVAZ";2013;"RUSSIA";507242
"TOYOTA";2012;"JAPAN";10104424
"GENERAL MOTORS";2012;"UNITED STATES";9285425
"VOLKSWAGEN GROUP";2012;"GERMANY";9254742
"HYUNDAI / KIA";2012;"SOUTH KOREA";7126413
"FORD";2012;"UNITED STATES";5595483
"NISSAN";2012;"JAPAN";4889379
"HONDA";2012;"JAPAN";4110857
"GROUPE PSA";2012;"FRANCE";2911764
"SUZUKI";2012;"JAPAN";2893602
"RENAULT";2012;"FRANCE";2676226
"CHRYSLER";2012;"UNITED STATES";2371427
"DAIMLER";2012;"GERMANY";2195152
"FIAT";2012;"ITALY";2127295
"BMW";2012;"GERMANY";2065477
"SAIC";2012;"CHINA";1783548
"TATA";2012;"INDIA";1241239
"MAZDA";2012;"JAPAN";1189283
"DONGFENG MOTOR";2012;"CHINA";1137950
"MITSUBISHI";2012;"JAPAN";1109731
"CHANGAN";2012;"CHINA";1063721
"TOYOTA";2008;"JAPAN";9237780
"GENERAL MOTORS";2008;"UNITED STATES";8282803
"VOLKSWAGEN GROUP";2008;"GERMANY";6437414
"FORD";2008;"UNITED STATES";5407000
"HYUNDAI / KIA";2008;"SOUTH KOREA";4172461
"HONDA";2008;"JAPAN";3912700
"NISSAN";2008;"JAPAN";3395065
"GROUPE PSA";2008;"FRANCE";3325407
"SUZUKI";2008;"JAPAN";2623567
"FIAT";2008;"ITALY";2524325
"RENAULT";2008;"FRANCE";2417351
"DAIMLER";2008;"GERMANY";2174299
"CHRYSLER";2008;"UNITED STATES";1893068
"BMW";2008;"GERMANY";1439918
"MAZDA";2008;"JAPAN";1349274
"GENERAL MOTORS";2007;"UNITED STATES";9349818
"TOYOTA";2007;"JAPAN";8534690
"VOLKSWAGEN GROUP";2007;"GERMANY";6267891
"FORD";2007;"UNITED STATES";6247506
"HYUNDAI / KIA";2007;"SOUTH KOREA";3987055
"HONDA";2007;"JAPAN";3911814
"GROUPE PSA";2007;"FRANCE";3457385
"NISSAN";2007;"JAPAN";3431398
"FIAT";2007;"ITALY";2679451
"RENAULT";2007;"FRANCE";2669040
"SUZUKI";2007;"JAPAN";2596316
"CHRYSLER";2007;"UNITED STATES";2538624
"DAIMLER";2007;"GERMANY";2096977
"BMW";2007;"GERMANY";1541503
"MITSUBISHI";2007;"JAPAN";1411975
"GENERAL MOTORS";2006;"UNITED STATES";8965305
"TOYOTA";2006;"JAPAN";8036010
"FORD";2006;"UNITED STATES";6506847
"VOLKSWAGEN GROUP";2006;"GERMANY";5684603
"DAIMLERCHRYSLER";2006;"GERMANY /  UNITED STATES";4589123
"HYUNDAI / KIA";2006;"SOUTH KOREA";3775749
"HONDA";2006;"JAPAN";3669514
"GROUPE PSA";2006;"FRANCE";3356859
"NISSAN";2006;"JAPAN";3266205
"RENAULT";2006;"FRANCE";2543649
"FIAT";2006;"ITALY";2319642
"SUZUKI";2006;"JAPAN";2297277
"MAZDA";2006;"JAPAN";1396412
"BMW";2006;"GERMANY";1366838
"MITSUBISHI";2006;"JAPAN";1313409
"GENERAL MOTORS";2005;"UNITED STATES";9097855
"TOYOTA";2005;"JAPAN";7338314
"FORD";2005;"UNITED STATES";6497746
"VOLKSWAGEN GROUP";2005;"GERMANY";5211413
"DAIMLERCHRYSLER";2005;"GERMANY /  UNITED STATES";4815593
"NISSAN";2005;"JAPAN";3535345
"HONDA";2005;"JAPAN";3436164
"GROUPE PSA";2005;"FRANCE";3375366
"HYUNDAI / KIA";2005;"SOUTH KOREA";3091060
"RENAULT";2005;"FRANCE";2616818
"SUZUKI";2005;"JAPAN";2071707
"FIAT";2005;"ITALY";2037695
"MITSUBISHI";2005;"JAPAN";1331060
"BMW";2005;"GERMANY";1323119
"MAZDA";2005;"JAPAN";1287561
"DAIHATSU";2005;"JAPAN";1011249
"AVTOVAZ";2005;"RUSSIA";721492
"DONGFENG";2005;"CHINA";593055
"SUBARU";2005;"JAPAN";591825
"BAIC";2005;"CHINA";559190
"GENERAL MOTORS";2004;"UNITED STATES";8066536
"TOYOTA";2004;"JAPAN";6814554
"FORD";2004;"UNITED STATES";6644024
"VOLKSWAGEN GROUP";2004;"GERMANY";5095480
"DAIMLERCHRYSLER";2004;"GERMANY /  UNITED STATES";4627883
"GROUPE PSA";2004;"FRANCE";3405245
"HONDA";2004;"JAPAN";3237434
"NISSAN";2004;"JAPAN";3230326
"HYUNDAI / KIA";2004;"SOUTH KOREA";2766321
"RENAULT";2004;"FRANCE";2471654
"FIAT";2004;"ITALY";2119717
"SUZUKI";2004;"JAPAN";1976824
"MITSUBISHI";2004;"JAPAN";1428563
"MAZDA";2004;"JAPAN";1275080
"BMW";2004;"GERMANY";1250345
"DAIHATSU";2004;"JAPAN";965295
"GM DAEWOO";2004;"SOUTH KOREA";898940
"AVTOVAZ";2004;"RUSSIA";717985
"SUBARU";2004;"JAPAN";601205
"FAW GROUP";2004;"CHINA";587427
"TOYOTA";2009;"JAPAN";7234439
"GENERAL MOTORS";2009;"USA";6459053
"VOLKSWAGEN GROUP";2009;"GERMANY";6067208
"FORD";2009;"UNITED STATES";4685394
"HYUNDAI / KIA";2009;"SOUTH KOREA";4645776
"GROUPE PSA";2009;"FRANCE";3042311
"HONDA";2009;"JAPAN";3012637
"NISSAN";2009;"JAPAN";2744562
"FIAT";2009;"ITALY";2460222
"SUZUKI";2009;"JAPAN";2387537
"RENAULT";2009;"FRANCE";2296009
"DAIMLER";2009;"GERMANY";1447953
"CHANGAN";2009;"CHINA";1425777
"BMW";2009;"GERMANY";1258417
"MAZDA";2009;"JAPAN";984520
"CHRYSLER";2009;"UNITED STATES";959070
"MITSUBISHI";2009;"JAPAN";802463
"BEIJING AUTOMOTIVE";2009;"CHINA";684534
"TATA";2009;"INDIA";672045
"DONGFENG MOTOR";2009;"CHINA";663262
"FAW";2009;"CHINA";650275
"CHERY";2009;"CHINA";508567
"FUJI";2009;"JAPAN";491352
