"Country";"Type";"Year";"Number"
"AUSTRIA";"PC";2005;230505
"BELGIUM";"PC";2005;895788
"FINLAND";"PC";2005;21233
"FRANCE";"PC";2005;3112961
"GERMANY";"PC";2005;5350187
"ITALY";"PC";2005;725528
"NETHERLANDS";"PC";2005;115121
"PORTUGAL";"PC";2005;137602
"SPAIN";"PC";2005;2098168
"SWEDEN";"PC";2005;288659
"UNITED KINGDOM";"PC";2005;1596296
"CZECH REPUBLIC";"PC";2005;599472
"HUNGARY";"PC";2005;148533
"POLAND";"PC";2005;540000
"SLOVAKIA";"PC";2005;218349
"SLOVENIA";"PC";2005;138393
"ROMANIA";"PC";2005;174538
"SERBIA";"PC";2005;12574
"RUSSIA";"PC";2005;1068145
"UKRAINE";"PC";2005;196722
"UZBEKISTAN";"PC";2005;87512
"TURKEY";"PC";2005;453663
"CANADA";"PC";2005;1356198
"MEXICO";"PC";2005;989840
"USA";"PC";2005;4321272
"ARGENTINA";"PC";2005;182761
"BRAZIL";"PC";2005;2009494
"COLOMBIA";"PC";2005;51905
"URUGUAY";"PC";2005;0
"VENEZUELA";"PC";2005;45388
"AUSTRALIA";"PC";2005;316414
"CHINA";"PC";2005;3078153
"INDIA";"PC";2005;1264000
"INDONESIA";"PC";2005;233492
"IRAN";"PC";2005;725000
"JAPAN";"PC";2005;9016375
"MALAYSIA";"PC";2005;405000
"PAKISTAN";"PC";2005;133998
"PHILIPPINES";"PC";2005;36236
"SOUTH KOREA";"PC";2005;3357094
"TAIWAN";"PC";2005;323819
"THAILAND";"PC";2005;277603
"VIETNAM";"PC";2005;20076
"BOTSWANA";"PC";2005;1566
"EGYPT";"PC";2005;48034
"MOROCCO";"PC";2005;7622
"NIGERIA";"PC";2005;2472
"Others";"PC";2005;0
"SOUTH AFRICA";"PC";2005;324875
"AUSTRIA";"PC";2006;248059
"BELGIUM";"PC";2006;881929
"FINLAND";"PC";2006;32417
"FRANCE";"PC";2006;2723196
"GERMANY";"PC";2006;5398508
"ITALY";"PC";2006;892502
"NETHERLANDS";"PC";2006;87332
"PORTUGAL";"PC";2006;143478
"SPAIN";"PC";2006;2078639
"SWEDEN";"PC";2006;288583
"UNITED KINGDOM";"PC";2006;1442085
"CZECH REPUBLIC";"PC";2006;848922
"HUNGARY";"PC";2006;187633
"POLAND";"PC";2006;632300
"ROMANIA";"PC";2006;201663
"SLOVAKIA";"PC";2006;295391
"SLOVENIA";"PC";2006;115000
"SERBIA";"PC";2006;9832
"RUSSIA";"PC";2006;1177918
"BELARUS";"PC";2006;0
"UKRAINE";"PC";2006;274860
"UZBEKISTAN";"PC";2006;1
"TURKEY";"PC";2006;545682
"CANADA";"PC";2006;1389536
"MEXICO";"PC";2006;1097619
"USA";"PC";2006;4366220
"ARGENTINA";"PC";2006;263120
"BRAZIL";"PC";2006;2092029
"COLOMBIA";"PC";2006;65200
"VENEZUELA";"PC";2006;157508
"AUSTRALIA";"PC";2006;270000
"CHINA";"PC";2006;5233132
"INDIA";"PC";2006;1473000
"INDONESIA";"PC";2006;206321
"IRAN";"PC";2006;8
"JAPAN";"PC";2006;9756515
"MALAYSIA";"PC";2006;377952
"PAKISTAN";"PC";2006;136400
"PHILIPPINES";"PC";2006;33000
"SOUTH KOREA";"PC";2006;3489136
"TAIWAN";"PC";2006;211306
"THAILAND";"PC";2006;298819
"VIETNAM";"PC";2006;17516
"BOTSWANA";"PC";2006;397
"EGYPT";"PC";2006;59462
"MOROCCO";"PC";2006;20200
"NIGERIA";"PC";2006;3000
"SOUTH AFRICA";"PC";2006;334482
"AUSTRIA";"PC";2007;199969
"BELGIUM";"PC";2007;789674
"FINLAND";"PC";2007;24000
"FRANCE";"PC";2007;2550869
"GERMANY";"PC";2007;5709139
"ITALY";"PC";2007;910860
"NETHERLANDS";"PC";2007;61912
"PORTUGAL";"PC";2007;134047
"SPAIN";"PC";2007;2195780
"SWEDEN";"PC";2007;316850
