"Country";"Type";"Year";"Number"
"AUSTRIA";"BC";2005;"122"
"BELGIUM";"BC";2005;"2800"
"FRANCE";"BC";2005;"3687"
"GERMANY";"BC";2005;"8790"
"ITALY";"BC";2005;"3459"
"NETHERLANDS";"BC";2005;"1984"
"PORTUGAL";"BC";2005;"140"
"SPAIN";"BC";2005;"1262"
"SWEDEN";"BC";2005;"8573"
"UNITED KINGDOM";"BC";2005;"1431"
"- EUROPEAN UNION New Members";"BC";2005;"5133"
"CZECH REPUBLIC";"BC";2005;"2194"
"HUNGARY";"BC";2005;"1009"
"POLAND";"BC";2005;"1930"
"- EAST AND CENTRAL EUROPE";"BC";2005;"26227"
"SERBIA";"BC";2005;"353"
"CIS";"BC";2005;"25874"
"RUSSIA";"BC";2005;"21173"
"BELARUS";"BC";2005;"650"
"UKRAINE";"BC";2005;"4051"
"TURKEY";"BC";2005;"12155"
"AMERICA";"BC";2005;"71914"
"NAFTA";"BC";2005;"36047"
"MEXICO";"BC";2005;"1788"
"UNITED STATES OF AMERICA";"BC";2005;"34259"
"- SOUTH AMERICA";"BC";2005;"35867"
"ARGENTINA";"BC";2005;"601"
"BRAZIL";"BC";2005;"35266"
"ASIA-OCEANIA";"BC";2005;"107934"
"CHINA";"BC";2005;"77138"
"INDONESIA";"BC";2005;"1691"
"IRAN";"BC";2005;"4200"
"JAPAN";"BC";2005;"11763"
"SOUTH KOREA";"BC";2005;"12730"
"THAILAND";"BC";2005;"412"
"AFRICA";"BC";2005;"1147"
"Double Counts Egypt / world";"BC";2005;"2681"
"EGYPT";"BC";2005;"2681"
"SOUTH AFRICA";"BC";2005;"1147"
"TOTAL";"BC";2005;"256758"
"AUSTRIA";"BC";2006;"227"
"BELGIUM";"BC";2006;"1143"
"FINLAND";"BC";2006;"0"
"FRANCE";"BC";2006;"4072"
"GERMANY";"BC";2006;"9290"
"ITALY";"BC";2006;"2867"
"NETHERLANDS";"BC";2006;"1920"
"PORTUGAL";"BC";2006;"127"
"SPAIN";"BC";2006;"1470"
"SWEDEN";"BC";2006;"9100"
"UNITED KINGDOM";"BC";2006;"1258"
"- EUROPEAN UNION New Members";"BC";2006;"9727"
"CZECH REPUBLIC";"BC";2006;"2929"
"HUNGARY";"BC";2006;"590"
"POLAND";"BC";2006;"6200"
"ROMANIA";"BC";2006;"8"
"SLOVENIA";"BC";2006;"0"
"- EAST AND CENTRAL EUROPE";"BC";2006;"31724"
"SERBIA";"BC";2006;"129"
"CIS";"BC";2006;"31595"
"RUSSIA";"BC";2006;"24115"
"BELARUS";"BC";2006;"650"
"UKRAINE";"BC";2006;"6830"
"TURKEY";"BC";2006;"14282"
"AMERICA";"BC";2006;"34664"
"- NAFTA";"BC";2006;"0"
"CANADA";"BC";2006;"0"
"MEXICO";"BC";2006;"0"
"UNITED STATES OF AMERICA";"BC";2006;"0"
"- SOUTH AMERICA";"BC";2006;"34664"
"ARGENTINA";"BC";2006;"855"
"BRAZIL";"BC";2006;"33809"
"ASIA-OCEANIA";"BC";2006;"382780"
"CHINA";"BC";2006;"195333"
"INDIA";"BC";2006;"58227"
"INDONESIA";"BC";2006;"1254"
"IRAN";"BC";2006;"4500"
"JAPAN";"BC";2006;"11063"
"MALAYSIA";"BC";2006;"1293"
"SOUTH KOREA";"BC";2006;"110760"
"THAILAND";"BC";2006;"350"
"AFRICA";"BC";2006;"6984"
"EGYPT";"BC";2006;"5633"
"TOTAL";"BC";2006;"459431"
