"Country";"Type";"Year";"Number"
"AUSTRIA";"CV";2005;367000
"BELGIUM";"CV";2005;674465
"DENMARK";"CV";2005;479000
"FINLAND";"CV";2005;370846
"FRANCE";"CV";2005;6198000
"GERMANY";"CV";2005;3133000
"GREECE";"CV";2005;1213312
"ICELAND";"CV";2005;27000
"IRELAND";"CV";2005;294173
"ITALY";"CV";2005;4422000
"LUXEMBOURG";"CV";2005;31000
"NETHERLANDS";"CV";2005;1070605
"NORWAY";"CV";2005;494000
"PORTUGAL";"CV";2005;1323000
"SPAIN";"CV";2005;4908000
"SWEDEN";"CV";2005;475000
"SWITZERLAND";"CV";2005;353000
"UNITED KINGDOM";"CV";2005;3916765
"BULGARIA";"CV";2005;371000
"CROATIA";"CV";2005;164000
"CYPRUS";"CV";2005;122000
"CZECH REPUBLIC";"CV";2005;530000
"ESTONIA";"CV";2005;86200
"HUNGARY";"CV";2005;430000
"LATVIA";"CV";2005;123757
"LITHUANIA";"CV";2005;165913
"MALTA";"CV";2005;46000
"POLAND";"CV";2005;2481000
"ROMANIA";"CV";2005;533000
"SLOVAKIA";"CV";2005;206000
"SLOVENIA";"CV";2005;72133
"ALBANIA";"CV";2005;80000
"BELARUS";"CV";2005;364826,078
"BOSNIA";"CV";2005;50000
"GEORGIA";"CV";2005;74000
"MACEDONIA";"CV";2005;20000
"MOLDAVIA";"CV";2005;102000
"RUSSIA";"CV";2005;5642000
"SERBIA";"CV";2005;156000
"TURKEY";"CV";2005;2654000
"UKRAINE";"CV";2005;1194000
"CANADA";"CV";2005;786000
"MEXICO";"CV";2005;7250000
"UNITED STATES OF AMERICA";"CV";2005;104788000
"ARGENTINA";"CV";2005;1775000
"BAHAMAS";"CV";2005;29000
"BARBADOS";"CV";2005;16000
"BELIZE";"CV";2005;15000
"BERMUDA";"CV";2005;5000
"BOLIVIA";"CV";2005;180046
"BRAZIL";"CV";2005;4653000
"CHILE";"CV";2005;815000
"COLOMBIA";"CV";2005;1245000
"COSTA RICA";"CV";2005;157067
"CUBA";"CV";2005;215000
"DOMINICAN REPUBLIC";"CV";2005;451000
"ECUADOR";"CV";2005;710000
"EL SALVADOR";"CV";2005;106000
"GUATEMALA";"CV";2005;573147
"HAITI";"CV";2005;36000
"HONDURAS";"CV";2005;90000
"JAMAICA";"CV";2005;32000
"NICARAGUA";"CV";2005;149148
"PANAMA";"CV";2005;79000
"PARAGUAY";"CV";2005;71000
"PERU";"CV";2005;813000
"PUERTO RICO";"CV";2005;113000
"SURINAME";"CV";2005;28500
"TRINIDAD";"CV";2005;41000
"URUGUAY";"CV";2005;65000
"VENEZUELA";"CV";2005;621000
"AFGHANISTAN";"CV";2005;280000
"AUSTRALIA";"CV";2005;2601000
"AZERBAIDJAN";"CV";2005;118000
"BAHRAIN";"CV";2005;129000
"BANGLADESH";"CV";2005;141000
"BRUNEI";"CV";2005;10000
"CHINA";"CV";2005;10272000
"GUAM";"CV";2005;31000
"HONG-KONG";"CV";2005;130000
"INDIA";"CV";2005;2706000
"INDONESIA";"CV";2005;3985371
"IRAN";"CV";2005;860000
"IRAQ";"CV";2005;1400000
"ISRAEL";"CV";2005;250000
"JAPAN";"CV";2005;18596000
"JORDAN";"CV";2005;93000
"KAZAKHSTAN";"CV";2005;347000
"KUWAIT";"CV";2005;185000
"KYRGYZSTAN";"CV";2005;228607,694543224
"LEBANON";"CV";2005;91000
"MALAYSIA";"CV";2005;862527
"NEW CALEDONIA";"CV";2005;23000
"NEW ZEALAND";"CV";2005;414000
"OMAN";"CV";2005;120000
"PAKISTAN";"CV";2005;351229
"PALESTINE";"CV";2005;132000
"PHILIPPINES";"CV";2005;321814
"QATAR";"CV";2005;125000
"SAUDI ARABIA";"CV";2005;1420000
"SINGAPORE";"CV";2005;152592
"SOUTH KOREA";"CV";2005;4275000
"SRI LANKA";"CV";2005;395000
"SYRIA";"CV";2005;1420000
"TAIWAN";"CV";2005;1018000
"THAILAND";"CV";2005;5596000
"UNITED ARAB EMIRATES";"CV";2005;69000
"VIETNAM";"CV";2005;98000
"YEMEN";"CV";2005;260000
"ALGERIA";"CV";2005;1018000
"ANGOLA";"CV";2005;59000
"BENIN";"CV";2005;14000
"BOTSWANA";"CV";2005;99000
"BURKINA FASO";"CV";2005;37000
"BURUNDI";"CV";2005;22000
"CAMEROON";"CV";2005;58000
"CONGO (RDC)";"CV";2005;689200
"EGYPT";"CV";2005;608000
"ETHIOPIA";"CV";2005;54000
"GHANA";"CV";2005;49000
"IVORY COAST";"CV";2005;342000
"KENYA";"CV";2005;316000
"LIBERIA";"CV";2005;38000
"LIBYA";"CV";2005;379000
"MADAGASCAR";"CV";2005;66000
"MALAWI";"CV";2005;34000
"MALI";"CV";2005;34000
"MAURITANIA";"CV";2005;17532,8433624254
"MAURITIUS";"CV";2005;40000
"MOROCCO";"CV";2005;528932,949282452
"MOZAMBIQUE";"CV";2005;45000
"NIGERIA";"CV";2005;644000
"SENEGAL";"CV";2005;217000
"SOUTH AFRICA";"CV";2005;2297000
"SUDAN";"CV";2005;48000
"TANZANIA";"CV";2005;50000
"TOGO";"CV";2005;47000
"TUNISIA";"CV";2005;122000
"UGANDA";"CV";2005;171000
"ZAMBIA";"CV";2005;73000
"ZIMBABWE";"CV";2005;89000
"AUSTRIA";"CV";2006;374000
"BELGIUM";"CV";2006;691094
"DENMARK";"CV";2006;519000
"FINLAND";"CV";2006;383479
"FRANCE";"CV";2006;6261000
"GERMANY";"CV";2006;3172000
"GREECE";"CV";2006;1246827
"ICELAND";"CV";2006;30000
"IRELAND";"CV";2006;326601
"ITALY";"CV";2006;4580000
"LUXEMBOURG";"CV";2006;32000
"NETHERLANDS";"CV";2006;1064846
"NORWAY";"CV";2006;515000
"PORTUGAL";"CV";2006;1335000
"SPAIN";"CV";2006;5175000
"SWEDEN";"CV";2006;493000
"SWITZERLAND";"CV";2006;360000
"UNITED KINGDOM";"CV";2006;4117987
"BULGARIA";"CV";2006;248000
"CROATIA";"CV";2006;170000
"CYPRUS";"CV";2006;119000
"CZECH REPUBLIC";"CV";2006;582000
"ESTONIA";"CV";2006;92900
"HUNGARY";"CV";2006;447000
"LATVIA";"CV";2006;131748
"LITHUANIA";"CV";2006;182586
"MALTA";"CV";2006;47000
"POLAND";"CV";2006;2580000
"ROMANIA";"CV";2006;567000
"SLOVAKIA";"CV";2006;217000
"SLOVENIA";"CV";2006;75915
"ALBANIA";"CV";2006;84000
"BELARUS";"CV";2006;381504,019
"BOSNIA";"CV";2006;50000
"GEORGIA";"CV";2006;84000
"MACEDONIA";"CV";2006;19000
"MOLDAVIA";"CV";2006;114000
"RUSSIA";"CV";2006;5753000
"SERBIA";"CV";2006;165000
"TURKEY";"CV";2006;2939000
"UKRAINE";"CV";2006;1258000
"CANADA";"CV";2006;841000
"MEXICO";"CV";2006;7773000
"UNITED STATES OF AMERICA";"CV";2006;109596000
"ARGENTINA";"CV";2006;1850000
"BAHAMAS";"CV";2006;30000
"BARBADOS";"CV";2006;17000
"BELIZE";"CV";2006;15000
"BERMUDA";"CV";2006;5000
"BOLIVIA";"CV";2006;229079
"BRAZIL";"CV";2006;4823000
"CHILE";"CV";2006;850000
"COLOMBIA";"CV";2006;1301000
"COSTA RICA";"CV";2006;156883
"CUBA";"CV";2006;217000
"DOMINICAN REPUBLIC";"CV";2006;496000
"ECUADOR";"CV";2006;740000
"EL SALVADOR";"CV";2006;107000
"GUATEMALA";"CV";2006;650222
"HAITI";"CV";2006;36000
"HONDURAS";"CV";2006;91000
"JAMAICA";"CV";2006;34000
"NICARAGUA";"CV";2006;161039
"PANAMA";"CV";2006;78000
"PARAGUAY";"CV";2006;74000
"PERU";"CV";2006;853000
"PUERTO RICO";"CV";2006;209000
"SURINAME";"CV";2006;30100
"TRINIDAD";"CV";2006;40000
"URUGUAY";"CV";2006;71000
"VENEZUELA";"CV";2006;670000
"AFGHANISTAN";"CV";2006;280000
"AUSTRALIA";"CV";2006;2706000
"AZERBAIDJAN";"CV";2006;141000
"BAHRAIN";"CV";2006;133000
"BANGLADESH";"CV";2006;142000
"BRUNEI";"CV";2006;10000
"CHINA";"CV";2006;10778000
"GUAM";"CV";2006;31000
"HONG-KONG";"CV";2006;131000
"INDIA";"CV";2006;2948000
"INDONESIA";"CV";2006;4749003
"IRAN";"CV";2006;870000
"IRAQ";"CV";2006;1400000
"ISRAEL";"CV";2006;250000
"JAPAN";"CV";2006;18338000
"JORDAN";"CV";2006;94000
"KAZAKHSTAN";"CV";2006;386654,25
"KUWAIT";"CV";2006;188000
"KYRGYZSTAN";"CV";2006;266640,193899837
"LEBANON";"CV";2006;88000
"MALAYSIA";"CV";2006;896570
"NEW CALEDONIA";"CV";2006;23000
"NEW ZEALAND";"CV";2006;426000
"OMAN";"CV";2006;120000
"PAKISTAN";"CV";2006;365539
"PALESTINE";"CV";2006;115000
"PHILIPPINES";"CV";2006;338943
"QATAR";"CV";2006;126000
"SAUDI ARABIA";"CV";2006;1440000
"SINGAPORE";"CV";2006;158586
"SOUTH KOREA";"CV";2006;4288000
"SRI LANKA";"CV";2006;4e+05
"SYRIA";"CV";2006;1440000
"TAIWAN";"CV";2006;1e+06
"THAILAND";"CV";2006;5097000
"UNITED ARAB EMIRATES";"CV";2006;71000
"VIETNAM";"CV";2006;99000
"YEMEN";"CV";2006;260000
"ALGERIA";"CV";2006;1065000
"ANGOLA";"CV";2006;59000
"BENIN";"CV";2006;15000
"BOTSWANA";"CV";2006;102000
"BURKINA FASO";"CV";2006;41000
"BURUNDI";"CV";2006;22000
"CAMEROON";"CV";2006;61000
"CONGO (RDC)";"CV";2006;699500
"EGYPT";"CV";2006;612000
"ETHIOPIA";"CV";2006;54000
"GHANA";"CV";2006;136000
"IVORY COAST";"CV";2006;367000
"KENYA";"CV";2006;327000
"LIBERIA";"CV";2006;36000
"LIBYA";"CV";2006;390000
